,Critter #,Sea Creature,Value,Time,Month (Hemisphere)
0,Critter #,Sea Creature,Value,Time,Month (Hemisphere)
1,1,Seaweed,600,All day,October-July (Northern) / April-January (Southern)
2,2,Sea grapes,900,All day,June-September (Northern) / December-March (Southern)
3,3,Sea cucumber,500,All day,November-April (Northern) / May-October (Southern)
4,4,Sea pig,"10,000",4 p.m. - 9 a .m.,November-February (Northern) / May-August (Southern)
5,5,Sea star,500,All day,Year-round (Northern and Southern)
6,6,Sea urchin,"1,700",All day,May-September (Northern) / November-March (Southern)
7,7,Slate pencil urchin,"2,000",4 p.m. - 9 a.m.,May-September (Northern) / November-March (Southern)
8,8,Sea anemone,500,All day,Year-round (Northern and Southern)
9,9,Moon jellyfish,600,All day,July-September (Northern) / January-March (Southern)
10,10,Sea slug,600,All day,Year-round (Northern and Southern)
11,11,Pearl oyster,"2,800",All day,Year-round (Northern and Southern)
12,12,Mussel,"1,500",All day,June-December (Northern) / December-June (Southern)
13,13,Oyster,"1,100",All day,September-February (Northern) / March-August (Southern)
14,14,Scallop,"1,200",All day,Year-round (Northern and Southern)
15,15,Whelk,"1,000",All day,Year-round (Northern and Southern)
16,16,Turban shell,"1,000",All day,"March-May, September-December (Northern) / March-June, September-November (Southern)"
17,17,Abalone,"2,000",4 p.m. - 9 a.m.,June-January (Northern) / December-July (Southern)
18,18,Gigas giant clam,"15,000",All day,May-September (Northern) / November-March (Southern)
19,19,Chambered nautilus,"1,800",4 p.m. - 9 a.m.,"March-June, September-November (Northern) / September-December, March-May (Southern)"
20,20,Octopus,"1,200",All day,Year-round (Northern and Southern)
21,21,Umbrella octopus,"6,000",All day,"March-May, September-November (Northern and Southern)"
22,22,Vampire squid,"10,000",4 p.m. - 9 a.m.,May-August (Northern) / November-February (Southern)
23,23,Firefly squid,"1,400",9 p.m. - 4 a.m.,March-June (Northern) / September-December (Southern)
24,24,Gazami crab,"2,200",All day,June-November (Northern) / December-May (Southern)
25,25,Dungeoness crab,"1,900",All day,November-May (Northern) / May-November (Southern)
26,26,Snow crab,"6,000",All day,November-April (Northern) / May-October (Southern)
27,27,Red king crab,"8,000",All day,November-March (Northern) / May-September (Southern)
28,28,Acorn barnacle,600,All day,Year-round (Northern and Southern)
29,29,Spider crab,"12,000",All day,March-April (Northern) / September-October (Southern)
30,30,Tiger prawn,"3,000",4 p.m. - 9 a.m.,June-September (Northern) / December-March (Southern)
31,31,Sweet shrimp,"1,400",4 p.m. - 9 a.m.,September-February (Northern) / March-August (Southern)
32,32,Mantis shrimp,"2,500",4 p.m. - 9 a.m.,Year-round (Northern and Southern)
33,33,Spiny Lobster,"5,000",9 p.m. - 4 a.m.,October-December (Northern) / April-June (Southern)
34,34,Lobster,"4,500",All day,"April-June, December-January (Northern) / October-December, June-July (Southern)"
35,35,Giant isopod,"12,000","9 a.m. - 4 p.m., 9 p.m. - 4 a.m.",July-October (Northern) / January-April (Southern)
36,36,Horseshoe crab,"2,500",9 p.m. - 4 a.m.,July-September (Northern) / January-March (Southern)
37,37,Sea pineapple,"1,500",All day,April-August (Northern) / December-July (Southern)
38,38,Spotted garden eel,"1,100",4 a.m. - 9 p.m.,May-October (Northern) / November-April (Southern)
39,39,Flatworm,700,4 p.m. - 9 a.m.,August-September (Northern) / February-March (Southern)
40,40,Venus' flower basket,"5,000",All day,October-February (Northern) / April-August (Southern)
